Unique Slate ID,SlatesUUID,Slate,Camera Letter,Job,ASA,Camera Head,Camera Head Right,Camera Move Description,Camera Rig,Characters,Props,Wrangler,Film Stock,HDRI Filename,Interior Exterior,Creation Date,Modification Date,Notes,Scene Description,Scene Number,Script Location,Script Time,Set Location,Set Media,Shoot Date,Shoot Time,Stereo Rig Orientation,Stereo Thru Cam Eye,Unit,VFX Shot,White Balance,Tk Take,Tk TakesUUID,Tk Filter,Tk Focal Length,Tk Focal Length End,Tk FPS,Tk Lens Focus,Tk Lens Focus End,Tk Lens Height,Tk Lens Height End,Tk Lens ID,Tk Lens Serial Num,Tk Notes,Tk Roll,Tk Shutter Angle,Tk Start Time Of Take,Tk Stereo Convergence,Tk Stereo IO,Tk Stop,Tk Camera,Tk Camera Tilt,Tk Camera Tilt End,Tk Clip Num,Tk Creation Date,Tk Modification Date
"11","1-2-063511131545-0000000-06590-123516844369517","24ac","A","James Pond - 003.5","800","Red Epic","","","","","","sam","","foo3","Ext","8/3/2013 12:59:05 PM","8/11/2013 5:52:03 PM","hi there...","Pan down to lake in front of waterfall.","24","Waterfall3","Dusk","Vermont studio3","Clean PlateBallsHDRI","7/22/2013","12:31:18 PM","","","1st","cc241","","2a","1-2-063511131570-0000000-06590-123516844369517","None","","","","","","","","","","","110","180","12:59:30 PM","","","","A","","","","8/3/2013 12:59:30 PM","8/8/2013 9:41:41 AM"
"11","1-2-063511131545-0000000-06590-123516844369517","24ac","A","James Pond - 003.5","800","Red Epic","","","","","","sam","","foo3","Ext","8/3/2013 12:59:05 PM","8/11/2013 5:52:03 PM","hi there...","Pan down to lake in front of waterfall.","24","Waterfall3","Dusk","Vermont studio3","Clean PlateBallsHDRI","7/22/2013","12:31:18 PM","","","1st","cc241","","3","1-2-063511214641-0000000-06590-123516844369517","None","","","","","","","","","","","110","180","12:04:01 PM","","","","A","","","","8/4/2013 12:04:01 PM","8/8/2013 9:41:41 AM"
"19","1-2-063511551750-0000000-02746-123516844369517","24ac","B","James Pond - 003.5","800","","","","","","","sam","","foo3","Ext","8/8/2013 9:42:30 AM","8/11/2013 5:52:01 PM","hi there...","Pan down to lake in front of waterfall.","24","Waterfall3","Dusk","Vermont studio3","Clean PlateBallsHDRI","8/8/2013","9:42:30 AM","","","1st","cc241","","1","1-2-063511551750-0000001-02746-123516844369517","","","","","","","","","","","","","","","","","","B","","","","8/8/2013 9:42:30 AM","8/8/2013 9:42:30 AM"
"19","1-2-063511551750-0000000-02746-123516844369517","24ac","B","James Pond - 003.5","800","","","","","","","sam","","foo3","Ext","8/8/2013 9:42:30 AM","8/11/2013 5:52:01 PM","hi there...","Pan down to lake in front of waterfall.","24","Waterfall3","Dusk","Vermont studio3","Clean PlateBallsHDRI","8/8/2013","9:42:30 AM","","","1st","cc241","","2a","1-2-063511551750-0000002-02746-123516844369517","","","","","","","","","","","","","","","","","","B","","","","8/8/2013 9:42:30 AM","8/8/2013 9:42:30 AM"
"19","1-2-063511551750-0000000-02746-123516844369517","24ac","B","James Pond - 003.5","800","","","","","","","sam","","foo3","Ext","8/8/2013 9:42:30 AM","8/11/2013 5:52:01 PM","hi there...","Pan down to lake in front of waterfall.","24","Waterfall3","Dusk","Vermont studio3","Clean PlateBallsHDRI","8/8/2013","9:42:30 AM","","","1st","cc241","","3","1-2-063511551750-0000003-02746-123516844369517","","","","","","","","","","","","","","","","","","B","","","","8/8/2013 9:42:30 AM","8/8/2013 9:42:30 AM"
"20","1-2-063511551755-0000000-02746-123516844369517","24ac","C","James Pond - 003.5","800","","","","","","","sam","","foo3","Ext","8/8/2013 9:42:35 AM","8/11/2013 5:51:58 PM","hi there...","Pan down to lake in front of waterfall.","24","Waterfall3","Dusk","Vermont studio3","Clean PlateBallsHDRI","8/8/2013","9:42:35 AM","","","1st","cc241","","1","1-2-063511551755-0000001-02746-123516844369517","","","","","","","","","","","","","","","","","","C","","","","8/8/2013 9:42:35 AM","8/8/2013 9:42:35 AM"
"20","1-2-063511551755-0000000-02746-123516844369517","24ac","C","James Pond - 003.5","800","","","","","","","sam","","foo3","Ext","8/8/2013 9:42:35 AM","8/11/2013 5:51:58 PM","hi there...","Pan down to lake in front of waterfall.","24","Waterfall3","Dusk","Vermont studio3","Clean PlateBallsHDRI","8/8/2013","9:42:35 AM","","","1st","cc241","","2a","1-2-063511551755-0000002-02746-123516844369517","","","","","","","","","","","","","","","","","","C","","","","8/8/2013 9:42:35 AM","8/8/2013 9:42:35 AM"
"20","1-2-063511551755-0000000-02746-123516844369517","24ac","C","James Pond - 003.5","800","","","","","","","sam","","foo3","Ext","8/8/2013 9:42:35 AM","8/11/2013 5:51:58 PM","hi there...","Pan down to lake in front of waterfall.","24","Waterfall3","Dusk","Vermont studio3","Clean PlateBallsHDRI","8/8/2013","9:42:35 AM","","","1st","cc241","","3","1-2-063511551755-0000003-02746-123516844369517","","","","","","","","","","","","","","","","","","C","","","","8/8/2013 9:42:35 AM","8/8/2013 9:42:35 AM"
"21","1-2-063511552015-0000000-02746-123516844369517","129a","A","James Pond - 003.5","800","Red Epic","","","","","","sam","","2013-08-08-09-50","","8/8/2013 9:46:55 AM","8/8/2013 9:52:34 AM","CG Lightning, clean plate to be used for lightning effect.","Closer in the throne room -- Elizabeth confronts Richard","129","Throne Room","","Stage 7","Clean PlateHDRI","8/8/2013","9:46:55 AM","","","1st","","","1","1-2-063511552015-0000001-02746-123516844369517","1/4 Wave Retarder","35mm","35mm","24","26'6''","4'7''","4'7''","3'4''","35mm","SL35-113","","a107","180","9:46:55 AM","","","2.8","A","0","+5","","8/8/2013 9:46:55 AM","8/8/2013 9:52:34 AM"
"21","1-2-063511552015-0000000-02746-123516844369517","129a","A","James Pond - 003.5","800","Red Epic","","","","","","sam","","2013-08-08-09-50","","8/8/2013 9:46:55 AM","8/8/2013 9:52:34 AM","CG Lightning, clean plate to be used for lightning effect.","Closer in the throne room -- Elizabeth confronts Richard","129","Throne Room","","Stage 7","Clean PlateHDRI","8/8/2013","9:46:55 AM","","","1st","","","2","1-2-063511552354-0000000-02746-123516844369517","1/4 Wave Retarder","35mm","35mm","24","26'6''","4'7''","4'7''","3'4''","35mm","SL35-113","","a107","180","9:52:34 AM","","","2.8","A","0","+5","","8/8/2013 9:52:34 AM","8/8/2013 9:52:34 AM"
"21","1-2-063511552015-0000000-02746-123516844369517","129a","A","James Pond - 003.5","800","Red Epic","","","","","","sam","","2013-08-08-09-50","","8/8/2013 9:46:55 AM","8/8/2013 9:52:34 AM","CG Lightning, clean plate to be used for lightning effect.","Closer in the throne room -- Elizabeth confronts Richard","129","Throne Room","","Stage 7","Clean PlateHDRI","8/8/2013","9:46:55 AM","","","1st","","","3","1-2-063511552384-0000000-02746-123516844369517","1/4 Wave Retarder","35mm","35mm","24","26'6''","4'7''","4'7''","3'4''","35mm","SL35-113","","a107","180","9:53:04 AM","","","2.8","A","0","+5","","8/8/2013 9:53:04 AM","8/8/2013 9:53:04 AM"
"21","1-2-063511552015-0000000-02746-123516844369517","129a","A","James Pond - 003.5","800","Red Epic","","","","","","sam","","2013-08-08-09-50","","8/8/2013 9:46:55 AM","8/8/2013 9:52:34 AM","CG Lightning, clean plate to be used for lightning effect.","Closer in the throne room -- Elizabeth confronts Richard","129","Throne Room","","Stage 7","Clean PlateHDRI","8/8/2013","9:46:55 AM","","","1st","","","4","1-2-063511552386-0000000-02746-123516844369517","1/4 Wave Retarder","35mm","35mm","24","26'6''","4'7''","4'7''","3'4''","35mm","SL35-113","series","a107","180","9:53:06 AM","","","2.8","A","0","+5","","8/8/2013 9:53:06 AM","8/8/2013 9:54:11 AM"
"21","1-2-063511552015-0000000-02746-123516844369517","129a","A","James Pond - 003.5","800","Red Epic","","","","","","sam","","2013-08-08-09-50","","8/8/2013 9:46:55 AM","8/8/2013 9:52:34 AM","CG Lightning, clean plate to be used for lightning effect.","Closer in the throne room -- Elizabeth confronts Richard","129","Throne Room","","Stage 7","Clean PlateHDRI","8/8/2013","9:46:55 AM","","","1st","","","5","1-2-063511552388-0000000-02746-123516844369517","1/4 Wave Retarder","35mm","35mm","24","26'6''","4'7''","4'7''","3'4''","35mm","SL35-113","","a107","180","9:53:08 AM","","","2.8","A","0","+5","","8/8/2013 9:53:08 AM","8/8/2013 9:53:08 AM"
"21","1-2-063511552015-0000000-02746-123516844369517","129a","A","James Pond - 003.5","800","Red Epic","","","","","","sam","","2013-08-08-09-50","","8/8/2013 9:46:55 AM","8/8/2013 9:52:34 AM","CG Lightning, clean plate to be used for lightning effect.","Closer in the throne room -- Elizabeth confronts Richard","129","Throne Room","","Stage 7","Clean PlateHDRI","8/8/2013","9:46:55 AM","","","1st","","","6","1-2-063511552399-0000000-02746-123516844369517","1/4 Wave Retarder","35mm","35mm","24","26'6''","4'7''","4'7''","3'4''","35mm","SL35-113","clean plate","a107","180","9:53:19 AM","","","2.8","A","0","+5","","8/8/2013 9:53:19 AM","8/8/2013 9:54:11 AM"
"22","1-2-063511552473-0000000-02746-123516844369517","129B","A","James Pond - 003.5","800","Red Epic","","Dolly In.","","","","sam","","20110825_c_129_ru","Int","8/8/2013 9:54:33 AM","8/11/2013 5:51:53 PM","CG Lightning, clean-plate so lightning only on right side of frame","Closer dolly push in on Elizabeth in the throne room","140","Throne room.","Night","Stage 7","Clean PlateHDRI","8/8/2013","9:54:33 AM","","","1st","","","1","1-2-063511552473-0000001-02746-123516844369517","1/4 Wave Retarder","40mm","40mm","24","20'3''","5'11''","4'6''","5'4''","40mm","SL40-234","","a108","180","9:54:33 AM","","","2.8","A","-1","+6.5","","8/8/2013 9:54:33 AM","8/8/2013 10:00:40 AM"
"22","1-2-063511552473-0000000-02746-123516844369517","129B","A","James Pond - 003.5","800","Red Epic","","Dolly In.","","","","sam","","20110825_c_129_ru","Int","8/8/2013 9:54:33 AM","8/11/2013 5:51:53 PM","CG Lightning, clean-plate so lightning only on right side of frame","Closer dolly push in on Elizabeth in the throne room","140","Throne room.","Night","Stage 7","Clean PlateHDRI","8/8/2013","9:54:33 AM","","","1st","","","2","1-2-063511552894-0000000-02746-123516844369517","1/4 Wave Retarder","40mm","40mm","24","20'3''","5'11''","4'6''","5'4''","40mm","SL40-234","","a108","180","10:01:34 AM","","","2.8","A","-1","+6.5","","8/8/2013 10:01:34 AM","8/8/2013 10:01:34 AM"
"22","1-2-063511552473-0000000-02746-123516844369517","129B","A","James Pond - 003.5","800","Red Epic","","Dolly In.","","","","sam","","20110825_c_129_ru","Int","8/8/2013 9:54:33 AM","8/11/2013 5:51:53 PM","CG Lightning, clean-plate so lightning only on right side of frame","Closer dolly push in on Elizabeth in the throne room","140","Throne room.","Night","Stage 7","Clean PlateHDRI","8/8/2013","9:54:33 AM","","","1st","","","3","1-2-063511552898-0000000-02746-123516844369517","1/4 Wave Retarder","40mm","40mm","24","20'3''","5'11''","4'6''","5'4''","40mm","SL40-234","series","a108","180","10:01:38 AM","","","2.8","A","-1","+6.5","","8/8/2013 10:01:38 AM","8/8/2013 10:02:11 AM"
"22","1-2-063511552473-0000000-02746-123516844369517","129B","A","James Pond - 003.5","800","Red Epic","","Dolly In.","","","","sam","","20110825_c_129_ru","Int","8/8/2013 9:54:33 AM","8/11/2013 5:51:53 PM","CG Lightning, clean-plate so lightning only on right side of frame","Closer dolly push in on Elizabeth in the throne room","140","Throne room.","Night","Stage 7","Clean PlateHDRI","8/8/2013","9:54:33 AM","","","1st","","","4","1-2-063511552904-0000000-02746-123516844369517","1/4 Wave Retarder","40mm","40mm","24","20'3''","5'11''","4'6''","5'4''","40mm","SL40-234","tiling and clean plate","a108","180","10:01:44 AM","","","2.8","A","-1","+6.5","","8/8/2013 10:01:44 AM","8/8/2013 10:02:11 AM"
"22","1-2-063511552473-0000000-02746-123516844369517","129B","A","James Pond - 003.5","800","Red Epic","","Dolly In.","","","","sam","","20110825_c_129_ru","Int","8/8/2013 9:54:33 AM","8/11/2013 5:51:53 PM","CG Lightning, clean-plate so lightning only on right side of frame","Closer dolly push in on Elizabeth in the throne room","140","Throne room.","Night","Stage 7","Clean PlateHDRI","8/8/2013","9:54:33 AM","","","1st","","","5","1-2-063511552931-0000000-02746-123516844369517","1/4 Wave Retarder","40mm","40mm","24","20'3''","5'11''","4'6''","5'4''","40mm","SL40-234","","a108","180","10:02:11 AM","","","2.8","A","-1","+6.5","","8/8/2013 10:02:11 AM","8/8/2013 10:02:11 AM"
"22","1-2-063511552473-0000000-02746-123516844369517","129B","A","James Pond - 003.5","800","Red Epic","","Dolly In.","","","","sam","","20110825_c_129_ru","Int","8/8/2013 9:54:33 AM","8/11/2013 5:51:53 PM","CG Lightning, clean-plate so lightning only on right side of frame","Closer dolly push in on Elizabeth in the throne room","140","Throne room.","Night","Stage 7","Clean PlateHDRI","8/8/2013","9:54:33 AM","","","1st","","","6","1-2-063511552942-0000000-02746-123516844369517","1/4 Wave Retarder","40mm","40mm","24","20'3''","5'11''","4'6''","5'4''","40mm","SL40-234","Without fireworks.","a108","180","10:02:22 AM","","","2.8","A","-1","+6.5","","8/8/2013 10:02:22 AM","8/8/2013 10:03:09 AM"
"24","1-2-063511839628-0000000-02746-123516844369517","150a","A","James Pond - 003.5","100","Sony F65","","Hand-hold camera.","None.","","","sam","","","","8/11/2013 5:40:28 PM","8/11/2013 5:45:32 PM","","The space shuttle flies by on the back of a jumbo.Two jets follow.","150","Space shuttle fly-by.","","","Photos","8/11/2013","5:40:28 PM","","","1st","","","1","1-2-063511839628-0000001-02746-123516844369517","None","135mm","135mm","24","","","","","#1234","8859421","","110","180","5:40:28 PM","","","f/13","A","","","","8/11/2013 5:40:28 PM","8/11/2013 6:34:03 PM"
